                                                           Список баз данных
                 Им\xFF                  |   Владелец   | Кодировк |     LC_COLLATE      |      LC_CTYPE       |        Права доступа         
 16st27.10.20ons                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st28.08.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st28.08.20d                          | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st28.08.20ons                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st28.09.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st28.10.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st29.09.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st29.09.20ons                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st29.10.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st30.09.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st30.09320                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st30.10.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st30.10.20ons                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st31.08.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st31.08.20d                          | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st31.08.20ons                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16stShablon                            | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st05.03.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st06.02.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st06.11.19                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st08.09.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st08.10.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st10.04.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st10.10.19                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st11.06.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st13.10.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st15.05.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st15.05.20(1)                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st16.09.19                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st17.07.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st17.12.19                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st18.03.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
